"Address Forms","Adresseformularer"
"All attribute labels will be overwritten!","Alle egenskabsnavne vil blive overskrevet!"
"All tax settings will be overwritten!","Alle momsindstillinger vil blive overskrevet!"
"Configure EU VAT","Konfigurer EU-moms"
"Configure Tax","Konfigurer moms"
"Danish address form templates without fax and region, with postal code before city","Danske skabeloner til adresseformularer, uden fax og region, med postnummer før by"
"Danish Config: Address forms have been enabled.","Dansk konfiguration: Adresseformularer aktiveret."
"Danish Config: Attribute labels have been translated.","Dansk konfiguration: Egenkabsnavne er oversat."
"Danish Config: Currency symbol have been set.","Dansk konfiguration: Valutasymbol indstillet."
"Danish Config: EU VAT Settings have been created.","Dansk konfiguration: EU-moms indstillet."
"Danish Config: Product Tax Classes have been updated.","Dansk konfiguration: Momsklasser for produkter opdateret."
"Danish Config: Tax Settings have been created.","Dansk konfiguration: Moms indstillet."
"Danish Configuration","Dansk konfiguration"
"Danish labels for product and category attributes","Danske labels på produkt- og kategoriegenskaber"
"Danish sales with 25 % VAT","Dansk salg med 25 % moms"
"DKK as Danish Currency Symbol","DKK som dansk valutasymbol"
"Do no use if you are selling abroad","Brug ikke hvis du sælger til udlandet"
"Enable VAT numbers and customer groups for EU VAT calculation","Aktiver momsnumre og kundegrupper til EU-momsberegning"
"New","Ny"
"Old","Gammel"
"Please choose the requested setups:","Vælg ønskede indstillinger:"
"Replace Address Forms with Danish Forms","Erstat adresseformularer med danske formularer"
"Run Danish Configuration","Kør dansk konfiguration"
"Setup Address Forms","Opsæt adresseformularer"
"Show DKK instead of kr for easier Nets approval","Vis DKK i stedet for kr for nemmere Nets-godkendelse"
"This action cannot be undone! Are you sure you want to continue?","Denne handling kan ikke fortrydes! Er du sikker på at du vil fortsætte?"
"Translate Attribute Labels","Oversæt egenskabsnavne"
"Update Product Tax Classes","Opdater produkters momsklasser"
